Customer_ID,Age,Tenure_Months,Subscription_Plan,Billing_Frequency,Monthly_Charges,Login_Count_30D,Login_Count_7D,Usage_Minutes_30D,Usage_Minutes_7D,Avg_Session_Minutes_30D,Avg_Session_Minutes_7D,Support_Tickets,Open_Tickets,Avg_Resolution_Hours,Payment_Delays,Discount_Percent,NPS_Score,Days_Since_Last_Login,Churn
CUST10000,56.0,6,Basic,Monthly,449.04,17,11,262,237,8.7,8.2,3,1,22.4,0,10,35.0,12,1
CUST10001,46.0,15,Premium,Annual,1194.07,10,6,209,215,16.7,15.7,0,0,13.9,0,15,62.0,2,0
CUST10002,32.0,18,Standard,Monthly,736.96,19,18,209,168,17.9,18.0,4,2,19.0,0,10,63.0,7,0
CUST10003,60.0,32,Premium,Annual,1061.74,19,7,223,30,20.2,16.8,1,0,8.1,1,0,15.0,5,1
CUST10004,25.0,11,Standard,Monthly,550.54,14,7,233,87,14.9,9.6,1,1,16.0,0,0,38.0,10,1
CUST10005,38.0,20,Standard,Monthly,634.17,12,4,254,72,11.4,5.9,3,0,18.1,1,0,70.0,6,0
CUST10006,56.0,24,Basic,Monthly,407.2,10,6,259,253,21.9,22.1,5,2,16.0,1,15,34.0,8,0
CUST10007,36.0,15,Premium,Annual,1283.27,20,19,218,135,6.3,5.9,1,0,38.1,1,10,77.0,7,0
CUST10008,40.0,48,Basic,Monthly,337.05,14,3,230,115,20.3,9.7,3,1,22.4,2,0,59.0,6,0
CUST10009,28.0,7,Premium,Annual,1152.05,6,4,238,210,13.2,14.1,5,2,37.3,4,0,86.0,6,0
CUST10010,28.0,21,Premium,Annual,1203.87,10,4,222,50,19.5,15.7,1,0,15.9,2,5,34.0,9,1
CUST10011,41.0,42,Basic,Annual,371.92,11,8,232,191,25.0,25.7,1,0,27.7,1,10,60.0,5,0
CUST10012,53.0,26,Basic,Monthly,368.79,16,9,239,149,13.9,12.3,3,0,21.8,2,15,60.0,10,0
CUST10013,57.0,44,Standard,Quarterly,675.82,21,3,220,93,15.8,8.0,4,2,22.1,1,0,69.0,11,1
CUST10014,41.0,14,Basic,Quarterly,672.2049999999999,11,9,242,168,15.5,15.7,3,2,39.0,1,15,51.0,4,1
CUST10015,20.0,37,Premium,Monthly,1260.39,18,16,218,162,31.7,33.3,0,0,9.0,6,0,70.0,8,1
CUST10016,39.0,21,Basic,Quarterly,400.29,20,15,253,255,17.2,16.3,1,1,3.8,0,0,26.0,9,0
CUST10017,19.0,18,Basic,Monthly,490.0,12,9,245,180,17.0,14.5,4,3,23.1,3,0,41.0,3,1
CUST10018,41.0,5,Premium,Monthly,1227.0,11,7,204,166,17.5,18.4,4,1,20.1,0,0,5.0,8,0
CUST10019,61.0,3,Standard,Monthly,762.46,21,20,252,159,26.1,25.1,5,2,35.0,2,0,35.0,6,1
CUST10020,47.0,23,Premium,Monthly,1151.67,14,13,240,220,14.2,15.0,0,0,26.9,1,0,21.0,8,0
CUST10021,55.0,26,Basic,Monthly,363.05,17,12,242,201,22.8,23.8,1,1,25.8,0,15,50.0,6,1
CUST10022,19.0,37,Standard,Monthly,662.46,14,10,229,176,13.4,13.1,4,1,21.2,2,0,67.0,6,0
CUST10023,38.0,24,Standard,Quarterly,694.23,13,7,223,228,13.0,14.3,2,1,37.1,0,5,56.0,10,0
CUST10024,50.0,19,Standard,Monthly,702.3,22,13,234,233,20.2,19.5,2,0,43.0,0,5,62.0,11,0
CUST10025,29.0,25,Standard,Monthly,716.83,15,13,253,223,25.3,25.9,0,0,15.7,2,20,44.0,12,0
CUST10026,39.0,21,Standard,Monthly,807.52,15,12,213,215,15.7,16.0,1,1,20.9,0,0,38.0,4,1
CUST10027,61.0,12,Standard,Monthly,738.67,11,8,240,200,15.7,15.3,2,0,55.7,1,0,13.0,6,1
CUST10028,42.0,41,Basic,Quarterly,370.69,13,13,217,209,21.8,21.7,1,0,7.5,0,20,-6.0,3,0
CUST10029,44.0,33,Standard,Monthly,698.82,11,1,237,93,17.9,15.0,1,1,18.0,0,5,4.0,14,1
CUST10030,59.0,4,Basic,Quarterly,481.77,19,14,237,141,22.1,21.9,6,1,5.6,1,0,25.0,8,0
CUST10031,45.0,42,Standard,Monthly,742.0,14,9,225,236,8.2,7.9,0,0,24.4,0,0,65.0,7,0
CUST10032,33.0,7,Basic,Quarterly,481.05,12,12,262,166,11.8,11.9,1,0,11.4,1,0,11.0,9,1
CUST10033,32.0,22,Standard,Monthly,672.45,9,4,233,132,17.6,12.8,0,0,11.5,1,5,21.0,8,1
CUST10034,64.0,33,Standard,Monthly,659.86,16,5,208,99,20.7,10.1,0,0,5.9,1,10,30.0,7,0
CUST10035,61.0,17,Basic,Quarterly,360.66,13,11,223,160,17.2,15.2,3,3,18.6,1,5,43.0,1,0
CUST10036,20.0,24,Basic,Monthly,376.89,14,11,248,172,18.5,17.7,0,0,28.1,3,15,41.0,2,1
CUST10037,54.0,34,Basic,Quarterly,340.52,15,14,226,192,21.6,23.1,3,0,7.7,2,5,45.0,7,0
CUST10038,24.0,28,Standard,Quarterly,715.24,18,18,207,217,10.5,10.6,2,0,6.2,0,0,52.0,4,0
CUST10039,38.0,43,Premium,Monthly,1216.18,9,8,209,120,21.6,23.7,1,0,26.6,1,0,77.0,7,0
CUST10040,26.0,41,Basic,Monthly,472.63,15,14,220,207,24.3,20.9,2,1,3.2,0,0,44.0,5,0
CUST10041,56.0,39,Standard,Monthly,602.19,21,12,209,128,15.9,16.4,3,1,29.5,2,0,-2.0,9,0
CUST10042,35.0,22,Basic,Annual,347.07,16,13,226,127,12.8,11.9,2,1,31.7,0,20,45.0,11,0
CUST10043,21.0,17,Standard,Quarterly,743.31,21,19,229,199,23.3,20.0,4,2,14.3,0,0,78.0,5,0
CUST10044,42.0,34,Premium,Monthly,1209.09,18,14,216,213,28.3,29.9,1,0,12.6,1,5,58.0,11,0
CUST10045,31.0,6,Basic,Monthly,401.46,12,10,232,148,18.9,16.8,0,0,15.1,0,0,47.0,8,0
CUST10046,26.0,46,Standard,Monthly,768.51,11,2,218,49,12.7,6.2,1,1,9.2,2,0,51.0,4,1
CUST10047,43.0,6,Basic,Annual,343.45,13,6,202,102,18.0,10.1,1,1,12.3,0,5,-4.0,12,0
CUST10048,19.0,34,Basic,Monthly,358.92,9,5,217,218,13.0,13.6,1,0,23.0,0,5,-7.0,9,1
CUST10049,37.0,1,Basic,Monthly,352.44,12,11,222,152,22.3,22.4,0,0,26.2,4,0,64.0,10,0
CUST10050,45.0,10,Basic,Annual,288.29,18,17,211,163,17.7,16.2,1,0,11.7,2,15,74.0,8,0
CUST10051,64.0,21,Standard,Monthly,706.3,14,7,223,29,12.4,9.9,2,1,10.7,1,5,26.0,10,0
CUST10052,24.0,5,Standard,Monthly,670.24,10,9,241,199,19.2,16.8,2,0,15.7,0,0,47.0,7,0
CUST10053,61.0,2,Standard,Annual,658.69,10,10,220,224,14.1,12.5,3,0,9.5,2,10,58.0,7,1
CUST10054,25.0,22,Basic,Quarterly,348.76,8,7,219,222,10.1,10.8,4,3,22.2,1,0,84.0,9,0
CUST10055,42.0,48,Basic,Monthly,398.02,13,8,242,189,22.6,24.4,0,0,15.3,0,5,40.0,11,0
CUST10056,52.0,2,Standard,Monthly,655.08,14,13,222,187,19.8,21.6,1,0,9.4,0,5,60.0,7,0
CUST10057,31.0,10,Premium,Monthly,1211.19,16,10,232,154,15.2,16.1,1,0,8.1,0,10,92.0,10,0
CUST10058,34.0,34,Basic,Monthly,424.25,19,13,249,260,25.6,27.5,3,0,18.0,0,0,35.0,5,0
CUST10059,53.0,16,Premium,Annual,1182.8,19,7,225,80,13.5,9.0,0,0,23.0,1,15,44.0,6,1
CUST10060,57.0,48,Standard,Monthly,679.06,25,11,242,98,15.4,8.0,0,0,27.6,1,10,14.0,6,1
CUST10061,21.0,39,Standard,Quarterly,709.2,15,5,229,121,20.3,15.9,2,1,45.2,2,10,16.0,13,1
CUST10062,19.0,22,Standard,Annual,697.41,13,8,250,177,23.3,22.5,2,2,11.1,0,20,64.0,7,0
CUST10063,23.0,12,Basic,Monthly,472.16,11,3,248,92,20.3,17.2,1,1,15.4,0,15,72.0,7,1
CUST10064,59.0,24,Basic,Monthly,416.5,11,6,225,28,14.6,8.8,2,0,6.0,0,0,71.0,5,0
CUST10065,21.0,47,Standard,Monthly,759.26,22,3,253,114,16.6,9.2,3,1,40.6,0,5,16.0,5,1
CUST10066,46.0,40,Basic,Annual,432.58,16,6,243,52,14.1,11.4,5,2,7.8,1,15,37.0,9,1
CUST10067,35.0,38,Premium,Annual,1126.49,10,10,240,159,16.0,16.4,1,0,10.5,0,5,54.0,1,0
CUST10068,43.0,10,Standard,Monthly,668.3,16,4,252,56,16.5,12.2,3,2,30.7,0,10,-10.0,7,1
CUST10069,61.0,35,Basic,Quarterly,396.35,11,8,237,190,20.5,17.9,3,0,37.1,2,0,53.0,8,0
CUST10070,51.0,32,Standard,Monthly,746.76,14,13,243,181,13.9,12.8,1,0,53.4,0,10,89.0,6,0
CUST10071,27.0,7,Basic,Annual,505.03,12,4,200,65,23.7,19.4,0,0,49.4,0,10,70.0,7,1
CUST10072,53.0,21,Standard,Monthly,672.37,14,8,225,184,17.9,17.8,1,0,1.4,0,15,-10.0,5,0
CUST10073,31.0,20,Standard,Monthly,702.04,18,16,239,226,12.9,12.0,4,2,19.2,2,10,52.0,5,0
CUST10074,48.0,26,Premium,Annual,1243.0,18,16,242,203,20.3,21.6,2,2,25.0,1,15,47.0,9,0
CUST10075,65.0,4,Standard,Monthly,695.82,13,3,228,28,17.3,14.4,1,1,21.1,0,0,49.0,6,1
CUST10076,32.0,46,Standard,Monthly,789.43,13,11,244,146,15.2,14.5,2,1,35.3,1,10,45.0,5,0
CUST10077,25.0,22,Standard,Monthly,624.87,12,8,228,219,26.5,24.4,2,1,8.7,0,20,34.0,9,0
CUST10078,31.0,15,Premium,Monthly,1236.29,16,4,229,46,16.1,9.5,1,0,18.5,0,10,-10.0,7,1
CUST10079,40.0,40,Basic,Monthly,435.75,15,13,252,204,15.3,15.8,1,0,31.8,1,5,50.0,6,0
CUST10080,57.0,21,Basic,Annual,462.36,13,12,219,177,23.8,22.9,2,1,8.2,0,15,58.0,7,0
CUST10081,38.0,15,Basic,Monthly,402.41,13,12,220,157,21.0,22.8,6,2,10.6,0,0,28.0,11,0
CUST10082,33.0,22,Basic,Monthly,448.03,13,9,246,175,22.5,24.4,3,1,24.3,0,0,73.0,9,0
CUST10083,62.0,28,Standard,Quarterly,685.3,18,11,243,210,14.6,15.0,0,0,24.2,0,20,1.0,9,0
CUST10084,35.0,14,Standard,Monthly,654.92,10,3,204,70,19.3,11.0,1,1,55.1,0,10,-1.0,9,1
CUST10085,64.0,27,Standard,Monthly,646.9,12,7,225,190,9.7,10.0,1,1,15.6,0,0,44.0,10,0
CUST10086,41.0,41,Basic,Quarterly,319.72,14,9,221,202,6.5,6.5,3,0,14.6,2,0,25.0,8,0
CUST10087,43.0,40,Standard,Annual,674.73,15,12,223,162,14.5,13.8,2,1,36.5,4,10,66.0,3,0
CUST10088,42.0,28,Basic,Quarterly,416.13,13,13,236,155,18.3,16.8,0,0,13.3,1,10,43.0,9,0
CUST10089,62.0,26,Standard,Quarterly,672.2049999999999,16,16,246,162,32.4,28.0,1,0,26.7,0,0,76.0,17,0
CUST10090,58.0,2,Standard,Monthly,709.89,17,15,239,141,25.5,26.8,2,1,25.0,0,5,24.0,16,1
CUST10091,46.0,25,Basic,Annual,466.92,15,8,199,118,11.4,10.1,1,1,32.0,1,10,46.0,6,1
CUST10092,32.0,3,Basic,Monthly,370.54,16,12,245,155,23.3,22.2,2,1,30.4,1,20,-8.0,5,1
CUST10093,62.0,8,Basic,Quarterly,527.72,12,11,224,125,9.9,9.0,3,2,30.8,0,5,41.0,3,0
CUST10094,18.0,44,Premium,Monthly,1240.54,10,6,215,147,27.2,26.2,1,0,23.6,0,5,44.0,7,0
CUST10095,42.0,33,Premium,Annual,1188.17,20,19,219,154,15.0,13.9,1,0,30.7,1,5,72.0,10,0
CUST10096,24.0,42,Standard,Quarterly,686.92,11,11,212,222,14.6,15.4,4,0,14.8,0,5,4.0,10,0
CUST10097,26.0,35,Basic,Quarterly,343.55,16,12,240,251,24.1,26.4,1,1,14.1,2,0,35.0,11,0
CUST10098,41.0,6,Standard,Monthly,697.59,9,8,243,156,14.6,15.9,2,0,39.7,1,0,78.0,5,0
CUST10099,18.0,39,Standard,Monthly,580.11,8,5,238,156,28.5,28.6,3,2,38.1,1,5,82.0,11,0
CUST10100,61.0,23,Standard,Quarterly,768.07,15,13,275,219,14.6,16.0,1,0,21.8,0,0,21.0,5,0
