Feature,Mean_Absolute_SHAP
num__Login_Count_7D,0.5693193
num__Payment_Delays,0.33603525
num__Engagement_Score,0.3344248
num__Avg_Resolution_Hours,0.24024764
cat__Billing_Frequency_Monthly,0.21917662
num__Support_Friction_Index,0.21574117
num__Tenure_Months,0.1952773
num__NPS_Score,0.17393994
num__Avg_Session_Minutes_30D,0.15493715
num__Login_Count_30D,0.12699291
num__Usage_Minutes_7D,0.09918452
num__Avg_Session_Minutes_7D,0.09772806
num__Monthly_Charges,0.079524465
num__Age,0.06780033
num__Usage_Minutes_30D,0.06540795
num__Discount_Percent,0.0587856
num__Days_Since_Last_Login,0.043011107
cat__Subscription_Plan_Basic,0.040070403
num__Support_Tickets,0.03900483
cat__Billing_Frequency_Quarterly,0.038281277
num__Open_Tickets,0.033225454
cat__Subscription_Plan_Standard,0.025927566
num__Login_Drop_Percent,0.015004221
cat__Billing_Frequency_Annual,0.009742858
num__Usage_Drop_Percent,0.0010103489
num__Expected_Login_7D,0.0
num__Expected_Usage_7D,0.0
num__High_Inactivity,0.0
cat__Subscription_Plan_Premium,0.0
num__Payment_Risk,0.0
num__Low_Engagement,0.0
